matchId,tier_scraped_from,rank_scraped_from,did_meta_team_win
NA1_5369597185,DIAMOND,DIAMOND II,True
NA1_5369601712,DIAMOND,DIAMOND II,True
NA1_5369601818,DIAMOND,DIAMOND II,False
NA1_5369606494,EMERALD,EMERALD IV,False
NA1_5369632856,GOLD,GOLD I,True
NA1_5369642811,GOLD,GOLD III,False
NA1_5369648832,GOLD,GOLD I,True
NA1_5369654013,GOLD,GOLD III,False
NA1_5369663779,EMERALD,EMERALD IV,True
NA1_5369686898,GOLD,GOLD I,False
NA1_5369699399,IRON,IRON II,False
NA1_5369701575,DIAMOND,DIAMOND II,True
NA1_5369728219,IRON,IRON II,True
NA1_5369804359,PLATINUM,PLATINUM IV,False
NA1_5369821178,DIAMOND,DIAMOND IV,True
NA1_5369821930,IRON,IRON II,True
NA1_5369833521,IRON,IRON II,False
NA1_5369838206,BRONZE,BRONZE III,False
NA1_5369841757,DIAMOND,DIAMOND IV,False
NA1_5369856060,BRONZE,BRONZE III,False
NA1_5369859573,PLATINUM,PLATINUM IV,False
NA1_5369862739,DIAMOND,DIAMOND IV,True
NA1_5369868288,IRON,IRON II,False
NA1_5369894153,PLATINUM,PLATINUM IV,False
NA1_5369894740,BRONZE,BRONZE III,False
NA1_5369896944,PLATINUM,PLATINUM I,True
NA1_5369897757,BRONZE,BRONZE IV,True
NA1_5369908350,IRON,IRON II,True
NA1_5369912564,GOLD,GOLD II,True
NA1_5369914254,PLATINUM,PLATINUM IV,True
NA1_5369914737,DIAMOND,DIAMOND III,False
NA1_5369915448,PLATINUM,PLATINUM I,True
NA1_5369919073,IRON,IRON II,True
NA1_5369939518,PLATINUM,PLATINUM IV,True
NA1_5369945938,GOLD,GOLD II,True
NA1_5369945960,IRON,IRON II,False
NA1_5369961609,IRON,IRON II,True
NA1_5370019398,IRON,IRON II,True
NA1_5370041282,IRON,IRON II,True
NA1_5370058450,GOLD,GOLD IV,False
NA1_5370061566,BRONZE,BRONZE II,False
NA1_5370071753,EMERALD,EMERALD II,False
NA1_5370072556,IRON,IRON II,True
NA1_5370075429,GOLD,GOLD IV,False
NA1_5370096094,GOLD,GOLD IV,False
NA1_5370136288,DIAMOND,DIAMOND II,False
NA1_5370157145,DIAMOND,DIAMOND II,False
NA1_5370223223,EMERALD,EMERALD III,True
NA1_5370241455,GOLD,GOLD I,False
NA1_5370254514,GOLD,GOLD I,False
NA1_5370258497,PLATINUM,PLATINUM IV,True
NA1_5370268155,SILVER,SILVER IV,True
NA1_5370278616,SILVER,SILVER IV,True
NA1_5370287761,SILVER,SILVER IV,True
NA1_5370297894,EMERALD,EMERALD I,True
NA1_5370312753,PLATINUM,PLATINUM IV,True
NA1_5370320272,DIAMOND,DIAMOND IV,True
NA1_5370321037,SILVER,SILVER III,True
NA1_5370337560,DIAMOND,DIAMOND IV,False
NA1_5370347007,IRON,IRON IV,True
NA1_5370356035,EMERALD,EMERALD IV,False
NA1_5370363457,GOLD,GOLD I,False
NA1_5370368649,IRON,IRON II,False
NA1_5370375469,EMERALD,EMERALD IV,True
NA1_5370407034,SILVER,SILVER IV,True
NA1_5370409855,SILVER,SILVER III,True
NA1_5370414560,PLATINUM,PLATINUM I,False
NA1_5370417513,BRONZE,BRONZE III,False
NA1_5370422830,SILVER,SILVER II,False
NA1_5370430484,SILVER,SILVER I,False
NA1_5370431766,SILVER,SILVER IV,False
NA1_5370445674,SILVER,SILVER II,True
NA1_5370447067,EMERALD,EMERALD I,True
NA1_5370453849,SILVER,SILVER I,True
NA1_5370456715,BRONZE,BRONZE III,True
NA1_5370459956,GOLD,GOLD IV,True
NA1_5370477923,DIAMOND,DIAMOND IV,True
NA1_5370478352,EMERALD,EMERALD II,True
NA1_5370483488,DIAMOND,DIAMOND IV,False
NA1_5370485421,SILVER,SILVER IV,False
NA1_5370485451,SILVER,SILVER I,True
NA1_5370490859,BRONZE,BRONZE II,False
NA1_5370497993,SILVER,SILVER III,False
NA1_5370501516,SILVER,SILVER III,False
NA1_5370507361,DIAMOND,DIAMOND IV,True
NA1_5370512303,DIAMOND,DIAMOND IV,False
NA1_5370526552,EMERALD,EMERALD II,True
NA1_5370553987,GOLD,GOLD IV,False
NA1_5370596842,GOLD,GOLD II,True
NA1_5370598382,GOLD,GOLD III,False
NA1_5370615463,GOLD,GOLD II,True
NA1_5370757469,EMERALD,EMERALD I,True
NA1_5370759690,IRON,IRON II,True
NA1_5370777146,DIAMOND,DIAMOND III,True
NA1_5370785091,BRONZE,BRONZE III,True
NA1_5370791183,EMERALD,EMERALD II,True
NA1_5370795559,GOLD,GOLD I,True
NA1_5370796400,EMERALD,EMERALD IV,False
NA1_5370801644,EMERALD,EMERALD II,False
NA1_5370808511,SILVER,SILVER IV,True
NA1_5370814772,SILVER,SILVER II,False
NA1_5370819103,EMERALD,EMERALD I,True
NA1_5370827477,SILVER,SILVER II,True
NA1_5370827567,GOLD,GOLD I,True
NA1_5370840039,BRONZE,BRONZE II,False
NA1_5370843916,DIAMOND,DIAMOND IV,True
NA1_5370846152,SILVER,SILVER II,False
NA1_5370852412,BRONZE,BRONZE IV,True
NA1_5370857795,GOLD,GOLD I,True
NA1_5370871241,BRONZE,BRONZE IV,False
NA1_5370884194,BRONZE,BRONZE IV,False
NA1_5370889813,GOLD,GOLD I,True
